video_id,video_title,video_published_at,video_views,video_likes,video_comments
OSTMKBLDoLg,The American fairytale continues as USA beat Pakistan in a massive upset at the #T20WorldCup 😍,2024-06-06T23:37:36Z,8721791,106073,10063
3yiWqnKl7lQ,The Epic Montage | T20 World Cup 2024 Final,2024-07-04T08:51:35Z,4867508,165056,4571
fVZQCdHUTsA,Virat Kohli 🤝 Rohit Sharma #cricket #cricketshorts #ytshorts #T20WorldCup,2024-06-30T01:45:47Z,6119319,557073,3269
89_E436SRos,Let the celebrations begin 🥳 #cricket #cricketshorts #ytshorts #t20worldcup,2024-06-29T23:30:01Z,7038043,487521,2781
RJcAz3rU2Zc,Australia claim maiden Men&#39;s T20 World Cup title | Match Highlights | T20WC 2021,2024-05-14T01:52:11Z,4490385,54110,2516
4iiLuQVMs-w,Unbelievable athleticism | The Best Catches of T20WC 2024,2024-07-03T12:27:43Z,3798655,57546,3077
1RnrJc0zNys,"When you win, dance like everyone’s watching 😉 #T20WorldCup #cricket #cricketshorts #ytshorts",2024-06-30T00:01:31Z,5522363,445704,2550
WBC_imavsmQ,Virat Kohli magic at the MCG 🪄 #cricket #t20worldcup #cricketshorts,2024-02-23T02:07:12Z,7592379,482110,2815
8MWMvoZqt0E,Carnage with the ball | The Best Deliveries of T20WC 2024,2024-07-11T12:30:09Z,2187864,36919,1318
V8m8equTo3c,Ric Flair 🤝 Rohit Sharma #T20WorldCup #Cricket #cricketshorts #ytshorts,2024-06-30T02:46:48Z,9777790,825808,6220
WNV9ssUjqk4,Continuing a glorious 🇮🇳 Men&#39;s World Cup legacy 🏆#T20WorldCup,2024-07-03T14:30:11Z,943969,93731,588
-2fjXRxMh-c,The euphoria of a #T20WorldCup trophy in your hands 🙌🏆,2024-07-01T00:03:10Z,8763725,678301,2202
INpFgtrmpLE,ICC Men’s T20 World Cup 2024 Official Anthem Teaser ft. Sean Paul and Kes,2024-04-12T17:45:09Z,3624521,23772,1109
2sZ8acopU1o,Rangana Herath runs through New Zealand with 5/3 in 2014 | T20 World Cup,2024-05-21T06:29:15Z,315117,6597,338
2rjM-XW6eZY,New York Pitch Update | T20 World Cup 2024,2024-05-02T00:30:04Z,600739,8782,469
_XuvpfEEs8o,The story so far – Best Moments | T20WC 2024,2024-06-19T09:29:45Z,833235,13920,700
ijp5AyWVWds,The historic moment for Afghanistan #cricket #cricketshorts #ytshorts #t20worldcup,2024-06-25T05:57:00Z,8403022,373956,4272
8L3QSt6f3dM,The ICC T20 World Cup gets a brand new makeover,2023-12-07T07:07:30Z,745530,31534,2033
xKMRx_upkRY,Who is faster than Jofra Archer? 😮‍💨#T20WorldCup #YTShorts #CricketShorts,2024-06-05T13:15:04Z,7834984,396041,2525
R9_YsawaSNc,The #T20WorldCup trophy in disguise 🏆 #Cricket #CricketShorts #YTShorts,2024-07-19T13:06:11Z,6659124,338883,1940
jo-_-9W-1TI,Nepal nearly pulls off a big win | SA v NEP | T20WC 2024,2024-06-15T16:21:38Z,1336140,17965,1312
RwqV_2Pkdp4,One-month milestone for Nassau County International Cricket Stadium | ICC Men&#39;s T20 World Cup 2024,2024-03-05T13:47:56Z,1031213,12058,490
_bb33rYsAvI,India orchestrates memorable win over Pakistan | Match Recap | IND v PAK | T20WC 2024,2024-06-11T14:11:13Z,3391045,64346,2537
MMba_pOhAZM,"Carlos Brathwaite, iconic 🤩 #t20worldcup  #cricket  #cricketshorts",2024-02-22T23:00:12Z,702160,54335,376
JKkEd9cycBQ,ICC Men’s T20 World Cup 2024 Trophy Tour kicks off in New York,2024-03-19T17:20:14Z,392058,10427,623
tAgvul2Ls0A,Every Adam Zampa wicket at T20 World Cup 2024,2024-07-11T23:57:22Z,126494,1455,109
s6GinPgUO5Y,Rishabh Pant reacts to Ricky Ponting&#39;s words of support 🫶#T20WorldCup #cricketshorts #ytshorts,2024-05-30T14:30:30Z,473383,31626,116
t3zMcZNgJ4g,Celebrating #T20WorldCup 100-day countdown with the CHAMPIONS 🤩 #Cricket #100DTG,2024-02-23T13:06:59Z,924039,59321,424
suq0etZBAv8,A Dale Steyn special overcomes New Zealand in #T20WorldCup 2014 👊  #cricket #cricketshorts #ytshort,2024-03-24T13:30:24Z,9587036,409178,707
gE4sSkL1PGI,Every Fazalhaq Farooqi wicket at T20 World Cup 2024,2024-07-12T03:51:47Z,328498,6447,358
PEsCwvwSgcg,A sneak peek of the Men&#39;s #T20WorldCup 2024 official anthem ft. @AllSeanPaul and @kestheband 👀,2024-04-15T00:17:29Z,162848,9937,106
TjndmAHcgkM,"India&#39;s new T20I skipper, Suryakumar Yadav 👏 #cricket #cricketshorts #ytshorts",2024-07-19T06:22:37Z,666118,54449,297
bNLJEsqCFWM,An Out of This World Spectacle | ICC Men’s T20 World Cup 2024,2024-02-22T14:00:16Z,38217605,179896,2245
glTy9dxHL6Q,A ruthless Rohit Sharma knock 👊#T20WorldCup #AUSvIND #ytshorts #cricketshorts,2024-06-24T19:16:35Z,10847417,431921,2594
f-OUu_6jIRo,Burj Khalifa lights up in Women&#39;s T20 World Cup 2024 colours,2024-09-12T07:32:28Z,155455,2176,93
_LegGXsy6pk,Look at the turn on that 👀 #Cricket #CricketShorts #INDvENG #T20WorldCup,2024-06-27T20:43:00Z,8959953,381055,1884
cc8RCrwioJA,Jasprit Bumrah rattles Mohammad Rizwan&#39;s stumps 💥 #t20worldcup #cricket #ytshorts #cricketshorts,2024-06-10T01:21:25Z,5500544,245878,1719
9s-ARtVz5vA,🎶 𝘐𝘧 𝘺𝘰𝘶&#39;𝘳𝘦 𝘩𝘢𝘱𝘱𝘺 𝘢𝘯𝘥 𝘺𝘰𝘶 𝘬𝘯𝘰𝘸 𝘪𝘵... 🎶#T20WorldCup #Cricketshorts #ytshorts,2024-05-29T06:08:54Z,721533,35877,458
6uS3FFRBhuI,Historic moment for Afghanistan 😍 #cricket #cricketshorts #ytshorts #t20worldcup,2024-06-23T05:10:17Z,4429937,175890,1324
LDNOKcp_4Ug,Every Tabraiz Shamsi wicket at T20 World Cup 2024,2024-07-12T05:56:25Z,93642,1233,88
CuEC8Twrcgo,Every Travis Head boundary at T20 World Cup 2024,2024-07-17T01:13:55Z,227340,3758,538
nc9nA8fG87Q,Every Heinrich Klaasen boundary at T20 World Cup 2024,2024-07-16T06:00:31Z,198304,3753,380
wmf4yKzv9KE,The game-changing Jasprit Bumrah spell 🔥#T20WorldCup #INDvPAK #Cricket #CricketShorts,2024-06-12T19:41:58Z,8851106,381795,1466
NCSH_QMDzI4,Pat Cummins claims rare #T20WorldCup hat-trick 🔥 #cricket #cricketshorts #ytshorts,2024-06-21T02:51:53Z,1380313,67190,530
35QmZ2zaAso,"The first international cricket match in New York, coming up next 🤩#T20WorldCup #ytshorts",2024-06-03T14:09:40Z,125418,8750,75
f-PfPPZglSM,Rashid Khan unhappy after missing out on a double 👀 #cricket #cricketshorts #ytshorts #t20worldcup,2024-06-25T03:42:12Z,18270264,473861,2344
WrprZIxzB4M,Two wickets from two balls for Namibia 😲 #t20worldcup #cricket #cricketshorts #ytshorts,2024-06-03T01:10:45Z,872820,40114,182
nCTUP7-tLrU,Every Virat Kohli boundary at T20WC 2024,2024-07-15T14:00:45Z,591978,22075,1715
Wp8_0FS-Ts4,Kohli&#39;s unbeaten 82* guides India past Australia | T20WC 2016,2024-03-27T03:42:40Z,925554,25994,1148
vTh3QH_tMgg,Yuvraj Singh predicts the #T20WorldCup semi-finalists 👀 #Cricket #CricketShorts #YTShorts,2024-05-28T11:04:08Z,551986,28901,801
ha6fDklARyc,"Final Over Thrillers: India v Bangladesh, T20WC 2016",2024-03-23T12:30:26Z,782207,11457,932
qVEmHX5yvc0,"With four teams left, who&#39;s winning #T20WorldCup 2024? 🏆",2024-06-26T16:17:51Z,588280,43277,381
v_AFZ5-tY14,Lendl Simmons and Andre Russell power West Indies into the Final | T20WC 2016,2024-03-31T10:30:17Z,347642,5509,788
RR0yM5mG_8U,Final Over Thrillers: England v West Indies | T20WC 2016,2024-04-03T11:00:20Z,4634040,67718,2333
oYv3VzNXxik,Clutch moment from the Proteas captain! ☝#SAvBAN #T20WorldCup #Cricket #ytshorts #CricketShorts,2024-06-10T19:25:55Z,1975832,69628,1096
QFzINcbeU54,Yuvraj Singh predicts India best XI for T20 World Cup 2024,2024-05-22T05:30:01Z,803611,24720,1061
aA8M0e7-fL8,36 runs from one over as Nicholas Pooran hits out💥 #cricket #cricketshorts #ytshorts #t20worldcup,2024-06-18T03:59:30Z,1626720,56427,429
43YAaDH-xRA,A special presentation from Rohit Sharma for Kuldeep Yadav 😂#T20WorldCup #cricketshorts #ytshorts,2024-05-29T14:46:31Z,922192,68653,285
WxKB1b_iAKU,"Another successful chase from Kohli, this time at #T20WorldCup 2016 against Pakistan 🏏 #ytshorts",2024-03-19T02:15:10Z,3536345,154933,1198
Zu8Alpt6O34,FOUR MAIDENS 🤩Watch every ball from Lockie Ferguson’s record-breaking effort 👏 #T20WorldCup #NZvPNG,2024-06-17T18:41:00Z,1907362,84292,631
yhaYJ6lraxg,Marco Jansen puts South Africa into #T20WorldCup semi-finals 💪 #cricket #cricketshorts #ytshorts,2024-06-24T08:33:52Z,2948253,97278,358
8rIgfe5xt2w,So much semi-final emotion for Rohit Sharma 🥹 #cricket #cricketshorts #ytshorts #t20worldcup,2024-06-28T06:22:26Z,11383192,474680,4531
NiRKcpD0QEw,Tanzim Hasan delivers an action-packed over 😯#INDvBAN #T20WorldCup,2024-06-22T19:28:01Z,1787183,53397,1069
hQu8GyassKA,Incredible left-arm pacer shines for India | Every Wicket of Arshdeep Singh | T20WC 2024,2024-07-13T11:17:20Z,869767,19126,795
WbXGMIBUrIA,What does it take to create an ‘Out of this World’ anthem? #cricket #shorts  #T20WorldCup,2024-05-04T12:12:20Z,97145,5591,45
ODMu9HSBHHw,Shaping up well 🙌 New York almost ready for #T20WorldCup 🏏 #ytshorts #cricket #cricketshorts,2024-04-02T15:35:34Z,1550209,53674,297
fvkhKXAzkt4,Another bat broken in New York 💥 #PAKvCAN #T20WorldCup #cricketshorts #ytshorts,2024-06-12T02:08:22Z,4711730,101317,470
